iter	Passed	Remaining
440	1299	1647
441	1302	1644
442	1304	1640
443	1307	1637
444	1310	1634
445	1312	1630
446	1314	1626
447	1316	1622
448	1319	1618
449	1321	1615
450	1324	1612
451	1326	1608
452	1329	1605
453	1331	1601
454	1334	1598
455	1337	1595
456	1339	1591
457	1341	1588
458	1344	1584
459	1346	1581
460	1349	1577
461	1351	1574
462	1354	1570
463	1356	1567
464	1359	1564
465	1364	1563
466	1367	1561
467	1370	1558
468	1373	1554
469	1376	1552
470	1379	1549
471	1382	1546
472	1385	1543
473	1387	1539
474	1392	1538
475	1395	1536
476	1398	1533
477	1401	1530
478	1404	1528
479	1409	1526
480	1411	1523
481	1414	1520
482	1417	1517
483	1422	1516
484	1425	1513
485	1428	1510
486	1430	1507
487	1433	1503
488	1436	1501
489	1439	1498
490	1442	1495
491	1445	1492
492	1448	1489
493	1451	1486
494	1454	1484
495	1457	1481
496	1460	1477
497	1464	1476
498	1467	1473
499	1470	1470
500	1473	1467
501	1479	1467
502	1483	1465
503	1486	1462
504	1489	1460
505	1493	1458
506	1496	1455
507	1500	1452
508	1503	1450
509	1508	1449
510	1511	1446
511	1514	1443
512	1516	1439
513	1519	1436
514	1521	1433
515	1524	1430
516	1527	1427
517	1530	1424
518	1533	1421
519	1536	1418
520	1539	1415
521	1542	1412
522	1545	1409
523	1548	1406
524	1551	1403
525	1554	1400
526	1556	1397
527	1559	1394
528	1562	1391
529	1566	1388
530	1568	1385
531	1571	1382
532	1574	1379
533	1578	1377
534	1581	1374
535	1583	1370
536	1585	1367
537	1588	1364
538	1591	1361
539	1594	1358
540	1597	1355
541	1600	1352
542	1603	1349
543	1608	1348
544	1612	1346
545	1614	1342
546	1616	1339
547	1619	1335
548	1621	1332
549	1624	1328
550	1626	1325
551	1630	1323
552	1634	1320
553	1636	1317
554	1639	1314
555	1642	1311
556	1645	1308
557	1648	1306
558	1652	1303
559	1654	1300
560	1657	1296
561	1660	1293
562	1663	1291
563	1666	1287
564	1668	1284
565	1670	1281
566	1673	1278
567	1677	1276
568	1680	1272
569	1682	1269
570	1684	1265
571	1686	1261
572	1690	1259
573	1692	1256
574	1695	1253
575	1698	1250
576	1700	1246
577	1703	1243
578	1705	1240
579	1709	1237
580	1711	1234
581	1714	1231
582	1716	1227
583	1719	1225
584	1722	1221
585	1725	1218
586	1727	1215
587	1730	1212
588	1733	1209
589	1736	1206
590	1738	1202
591	1740	1199
592	1744	1197
593	1747	1194
594	1752	1192
595	1755	1189
596	1758	1186
597	1760	1183
598	1766	1182
599	1771	1181
600	1774	1178
601	1781	1177
602	1783	1174
603	1786	1171
604	1790	1169
605	1793	1165
606	1795	1162
607	1798	1159
608	1800	1156
609	1803	1152
610	1806	1150
611	1809	1147
612	1812	1144
613	1814	1140
614	1817	1137
615	1819	1134
616	1822	1131
617	1824	1127
618	1826	1124
619	1829	1121
620	1831	1117
621	1835	1115
622	1838	1112
623	1841	1109
624	1844	1106
625	1847	1103
626	1849	1100
627	1851	1096
628	1854	1093
629	1856	1090
630	1859	1087
631	1862	1084
632	1865	1081
633	1867	1078
634	1869	1074
635	1872	1071
636	1874	1068
637	1877	1065
638	1879	1061
639	1882	1058
640	1884	1055
641	1887	1052
642	1889	1049
643	1891	1045
644	1893	1042
645	1895	1038
646	1897	1035
647	1900	1032
648	1902	1029
649	1905	1026
650	1907	1022
651	1910	1019
652	1912	1016
653	1914	1012
654	1916	1009
655	1918	1006
656	1920	1002
657	1923	999
658	1925	996
659	1928	993
660	1930	990
661	1932	986
662	1934	983
663	1936	980
664	1938	976
665	1940	973
666	1943	970
667	1944	966
668	1946	963
669	1949	960
670	1951	956
671	1953	953
672	1955	950
673	1957	946
674	1959	943
675	1961	940
676	1963	936
677	1966	933
678	1968	930
679	1970	927
680	1972	923
681	1974	920
682	1976	917
683	1978	913
684	1980	910
685	1982	907
686	1984	904
687	1986	900
688	1988	897
689	1990	894
690	1992	891
691	1995	887
692	1996	884
693	1998	881
694	2000	877
695	2002	874
696	2004	871
697	2006	868
698	2008	864
699	2010	861
700	2012	858
701	2014	854
702	2016	851
703	2018	848
704	2020	845
705	2021	841
706	2023	838
707	2025	835
708	2027	832
709	2029	828
710	2031	825
711	2033	822
712	2034	819
713	2036	815
714	2038	812
715	2040	809
716	2042	806
717	2045	803
718	2047	800
719	2049	797
720	2051	793
721	2053	790
722	2055	787
723	2057	784
724	2059	781
725	2062	778
726	2063	775
727	2065	771
728	2067	768
729	2069	765
730	2071	762
731	2074	759
732	2076	756
733	2078	753
734	2080	750
735	2081	746
736	2083	743
737	2086	740
738	2088	737
739	2090	734
740	2092	731
741	2094	728
742	2096	725
743	2098	721
744	2099	718
745	2102	715
746	2104	712
747	2106	709
748	2108	706
749	2110	703
750	2112	700
751	2113	697
752	2116	694
753	2119	691
754	2121	688
755	2123	685
756	2126	682
757	2128	679
758	2130	676
759	2132	673
760	2134	670
761	2136	667
762	2138	664
763	2140	661
764	2142	658
765	2144	655
766	2146	652
767	2148	649
768	2150	645
769	2152	642
770	2154	639
771	2156	636
772	2158	633
773	2160	630
774	2163	628
775	2166	625
776	2168	622
777	2171	619
778	2173	616
779	2176	613
780	2178	610
781	2180	607
782	2181	604
783	2184	601
784	2187	599
785	2189	596
786	2192	593
787	2194	590
788	2197	587
789	2200	584
790	2203	582
791	2205	579
792	2207	576
793	2209	573
794	2211	570
795	2213	567
796	2215	564
797	2217	561
798	2219	558
799	2221	555
800	2223	552
801	2225	549
802	2227	546
803	2229	543
804	2230	540
805	2232	537
806	2234	534
807	2236	531
808	2238	528
809	2239	525
810	2242	522
811	2244	519
812	2247	516
813	2249	514
814	2252	511
815	2255	508
816	2257	505
817	2259	502
818	2262	499
819	2264	497
820	2267	494
821	2269	491
822	2271	488
823	2274	485
824	2275	482
825	2277	479
826	2280	477
827	2282	474
828	2285	471
829	2286	468
830	2288	465
831	2290	462
832	2292	459
833	2294	456
834	2296	453
835	2298	450
836	2300	448
837	2302	445
838	2304	442
839	2306	439
840	2307	436
841	2309	433
842	2311	430
843	2313	427
844	2315	424
845	2317	421
846	2319	419
847	2321	416
848	2323	413
849	2325	410
850	2326	407
851	2328	404
852	2330	401
853	2332	398
854	2334	395
855	2336	393
856	2338	390
857	2340	387
858	2343	384
859	2344	381
860	2346	378
861	2348	376
862	2350	373
863	2352	370
864	2354	367
865	2356	364
866	2358	361
867	2360	359
868	2362	356
869	2364	353
870	2366	350
871	2368	347
872	2370	344
873	2372	342
874	2374	339
875	2377	336
876	2378	333
877	2380	330
878	2382	327
879	2384	325
880	2386	322
881	2388	319
882	2390	316
883	2392	313
884	2394	311
885	2396	308
886	2398	305
887	2400	302
888	2402	299
889	2404	297
890	2406	294
891	2407	291
892	2409	288
893	2411	285
894	2414	283
895	2416	280
896	2418	277
897	2420	274
898	2422	272
899	2424	269
900	2425	266
901	2427	263
902	2429	261
903	2431	258
904	2433	255
905	2435	252
906	2437	249
907	2439	247
908	2441	244
909	2443	241
910	2445	238
911	2447	236
912	2448	233
913	2450	230
914	2452	227
915	2455	225
916	2457	222
917	2459	219
918	2461	216
919	2464	214
920	2466	211
921	2468	208
922	2470	206
923	2472	203
924	2474	200
925	2476	197
926	2479	195
927	2480	192
928	2483	189
929	2485	187
930	2487	184
931	2489	181
932	2490	178
933	2492	176
934	2494	173
935	2496	170
936	2498	167
937	2500	165
938	2502	162
939	2504	159
940	2506	157
941	2508	154
942	2510	151
943	2513	149
944	2515	146
945	2517	143
946	2520	141
947	2522	138
948	2524	135
949	2526	132
950	2527	130
951	2529	127
952	2531	124
953	2533	122
954	2535	119
955	2537	116
956	2539	114
957	2541	111
958	2543	108
959	2544	106
960	2546	103
961	2548	100
962	2550	97
963	2552	95
964	2555	92
965	2557	89
966	2558	87
967	2560	84
968	2562	81
969	2564	79
970	2566	76
971	2568	73
972	2570	71
973	2572	68
974	2574	66
975	2576	63
976	2577	60
977	2579	58
978	2581	55
979	2583	52
980	2585	50
981	2587	47
982	2589	44
983	2591	42
984	2593	39
985	2594	36
986	2596	34
987	2598	31
988	2600	28
989	2602	26
990	2604	23
991	2606	21
992	2608	18
993	2610	15
994	2612	13
995	2614	10
996	2617	7
997	2619	5
998	2621	2
999	2623	0
