iter	Passed	Remaining
475	652	718
476	653	716
477	653	714
478	654	711
479	655	710
480	657	708
481	658	707
482	659	706
483	660	704
484	661	702
485	662	700
486	663	699
487	664	697
488	666	695
489	666	694
490	667	692
491	668	690
492	669	688
493	669	686
494	670	684
495	671	682
496	672	680
497	673	678
498	673	676
499	674	674
500	675	673
501	676	671
502	677	669
503	679	668
504	679	666
505	680	664
506	682	664
507	688	666
508	689	665
509	694	667
510	707	677
511	718	685
512	721	684
513	721	682
514	722	680
515	723	678
516	726	678
517	727	677
518	728	675
519	729	673
520	731	672
521	732	670
522	732	668
523	733	666
524	734	664
525	735	662
526	736	660
527	736	658
528	737	656
529	738	654
530	739	652
531	739	650
532	740	648
533	741	646
534	742	645
535	743	644
536	745	642
537	749	643
538	750	642
539	752	641
540	753	639
541	755	638
542	756	636
543	757	634
544	758	632
545	758	630
546	759	629
547	760	627
548	761	625
549	762	623
550	763	621
551	763	619
552	764	617
553	765	615
554	765	614
555	766	612
556	768	611
557	770	610
558	771	608
559	772	606
560	773	605
561	774	603
562	774	601
563	775	599
564	776	597
565	777	595
566	778	594
567	778	592
568	779	590
569	780	588
570	781	587
571	782	585
572	783	583
573	787	584
574	788	582
575	789	580
576	790	579
577	790	577
578	791	575
579	792	573
580	793	572
581	794	570
582	795	568
583	795	566
584	796	565
585	799	564
586	800	563
587	801	561
588	801	559
589	802	557
590	803	556
591	804	554
592	805	552
593	806	551
594	806	549
595	807	547
596	808	545
597	809	544
598	810	542
599	811	540
600	811	539
601	812	537
602	813	535
603	814	533
604	815	532
605	815	530
606	816	528
607	817	527
608	818	525
609	819	523
610	820	522
611	821	520
612	822	519
613	823	517
614	825	516
615	826	515
616	827	513
617	828	512
618	830	510
619	831	509
620	832	508
621	839	510
622	841	509
623	842	507
624	843	506
625	844	504
626	845	503
627	846	501
628	847	499
629	848	498
630	849	496
631	849	494
632	850	493
633	851	491
634	852	489
635	853	488
636	854	486
637	855	485
638	856	483
639	856	482
640	857	480
641	858	478
642	859	477
643	860	475
644	860	473
645	861	472
646	875	477
647	876	476
648	877	474
649	880	474
650	882	472
651	887	473
652	888	472
653	889	470
654	890	469
655	897	470
656	899	469
657	900	468
658	902	466
659	902	465
660	903	463
661	904	461
662	905	460
663	906	458
664	907	457
665	908	455
666	919	459
667	923	458
668	925	457
669	926	456
670	927	454
671	928	453
672	929	451
673	930	449
674	931	448
675	932	446
676	933	445
677	934	443
678	935	442
679	936	440
680	937	439
681	938	437
682	939	435
683	939	434
684	940	432
685	941	430
686	941	429
687	942	427
688	943	425
689	944	424
690	945	422
691	946	421
692	946	419
693	947	417
694	949	416
695	950	415
696	951	413
697	952	412
698	953	410
699	954	408
700	954	407
701	955	405
702	956	404
703	957	402
704	958	400
705	958	399
706	959	397
707	960	396
708	961	394
709	963	393
710	965	392
711	966	390
712	967	389
713	969	388
714	971	387
715	971	385
716	972	383
717	973	382
718	974	380
719	975	379
720	979	378
721	980	377
722	981	375
723	982	374
724	982	372
725	983	371
726	984	369
727	985	368
728	985	366
729	986	364
730	988	363
731	990	362
732	991	360
733	991	359
734	992	357
735	993	356
736	994	354
737	995	353
738	996	351
739	996	350
740	997	348
741	998	347
742	999	345
743	1000	344
744	1002	343
745	1004	341
746	1005	340
747	1006	339
748	1007	337
749	1008	336
750	1009	334
751	1010	333
752	1011	331
753	1012	330
754	1018	330
755	1019	329
756	1020	327
757	1021	326
758	1022	324
759	1023	323
760	1024	321
761	1025	320
762	1026	318
763	1028	317
764	1029	316
765	1030	314
766	1030	313
767	1032	311
768	1034	310
769	1035	309
770	1036	307
771	1037	306
772	1038	304
773	1039	303
774	1040	301
775	1041	300
776	1041	298
777	1042	297
778	1043	296
779	1044	294
780	1044	293
781	1046	291
782	1047	290
783	1049	289
784	1050	287
785	1051	286
786	1052	284
787	1053	283
788	1055	282
789	1056	280
790	1065	281
791	1072	281
792	1074	280
793	1075	278
794	1075	277
795	1076	275
796	1077	274
797	1078	272
798	1079	271
799	1080	270
